2020-07-17 09:13:51.313 INFO _internal - _log:  * Running on http://0.0.0.0:8084/ (Press CTRL+C to quit)
2020-07-17 09:13:51.333 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:21:40.052 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:24:11.618 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:25:58.626 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:28:22.208 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:35:58.256 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:36:20.436 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:43:09.271 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:46:08.210 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:49:13.568 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:53:51.022 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:53:59.028 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:54:47.913 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:55:59.401 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:56:44.205 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:57:47.828 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:58:08.404 INFO _internal - _log:  * Restarting with stat
2020-07-17 09:58:49.862 INFO _internal - _log:  * Restarting with stat
2020-07-17 10:07:43.514 INFO _internal - _log:  * Restarting with stat
2020-07-17 10:08:16.827 INFO _internal - _log:  * Restarting with stat
2020-07-17 10:08:24.978 INFO _internal - _log:  * Restarting with stat
2020-07-17 10:08:33.192 INFO _internal - _log:  * Restarting with stat
2020-07-17 10:10:02.012 INFO _internal - _log:  * Restarting with stat
